2theta,Imax,2theta.1,Imax.1,2theta.2,Imax.2,2theta.3,Imax.3,2theta.4,Imax.4,2theta.5,Imax.5,l_onda,Abs,l_onda.1,Abs.1,Oxigenos,plasmon_MG,FormQuimica,ID,Structure,Element,Atomic Radius,Valency,Electronegativity,Ionic Radius,Density,Lattice Constant
37.3339114053429,75.5389210501676,37.4301205488347,37.7694605250838,43.3795741444217,100.0,43.4928486412776,50.0,63.0225917099981,57.5385671212011,63.1972382446994,28.7692835606006,779.8630394277715,108752.4827991142,255.4466750596533,73514.98475120465,1,779.8630394277715,NiO,1010093,Cubic,Ni,135.0,2,1.91,48.0,8.9,3.52
36.4272498070041,100.0,36.5209545391825,50.0,42.3126940144588,36.6673732880366,42.4229076181901,18.3336866440183,61.382242942979,29.2750071656621,73.52628686683,23.7378660245705,277.2826983367759,153165.9515401219,236.9926720438484,89310.39542993375,1,277.2826983367759,Cu2O,9007497,Cubic,Cu,135.0,2,1.9,54.0,8.96,3.61
30.9357605315471,28.8584823049787,36.4478142976487,100.0,36.5415756874293,50.0,58.6753458543209,28.8294875973472,64.4704292537494,43.4044791804306,64.6500716850227,21.7022395902153,573.5791729705475,69136.178520743,213.9931867862132,81182.90192696349,4,213.9931867862132,Co3O4,9005900,Cubic,Co,135.0,3,1.88,40.0,8.86,2.51
6.42418792325338,100.0,6.4401676004278,50.0,12.868678282781,17.9660221831626,12.900790081692,8.98301109158129,20.3475998122008,8.46645547997314,21.3582950202655,6.94168890245479,680.7436740925104,26842.27931524138,362.3157199161599,31640.88619561128,3,362.3157199161599,Fe2O3,2101169,Hexagonal,Fe,140.0,3,1.83,25.0,7.87,2.87
22.1489161470514,97.226674639222,22.2046503619015,48.613337319611,22.4059492720287,66.1403902743569,23.6069361979653,100.0,23.6664422768788,50.0,25.4791055693531,47.1804084089435,592.5660077717582,66211.4957759205,257.6141136815446,89383.59094995089,11,257.6141136815446,Mo4O11,1527635,Orthorhombic,Mo,145.0,6,2.16,41.0,10.2,3.15
33.1168966482867,100.0,33.201565231199,50.0,35.6112054107429,72.5213247429745,35.7026672168863,36.2606623714872,49.4173301191472,37.6082159723201,54.0023974161593,45.5696861366086,680.0566369340122,95266.37641902348,231.4928407949619,121875.7669958658,3,231.4928407949619,Fe2O3,9000139,Hexagonal,Fe,140.0,3,1.83,25.0,7.87,2.87
21.9927489714145,46.8801011705581,26.4234611992714,94.1037378818727,26.4903119741055,47.0518689409364,29.0243677324781,60.9087014348629,30.7093728981847,100.0,30.787567909031,50.0,897.5905721733583,39741.82987441267,228.2112558471518,139345.1552232748,9,228.2112558471518,Ti5O9,1539580,Triclinic,Ti,140.0,4,1.54,42.0,4.506,2.95
20.4601844720509,100.0,20.5115734023423,50.0,26.2931005423498,38.0581825151077,33.9785156153974,39.8176837334603,36.1049617050417,38.2290903945691,40.6843257850355,26.9767592726885,891.5671848073823,47740.46420888515,236.9926720438484,89310.39542993375,2,891.5671848073823,VO2,9000071,Orthorhombic,V,135.0,5,1.63,35.5,6.0,3.02
33.1712889328729,100.0,33.2561046873458,50.0,35.6697449043361,66.1205921503068,35.7613672625026,33.0602960751534,54.0955885017212,50.0858895936681,64.0762482198068,29.1197815624023,650.9647884688194,111283.3134428408,236.9926720438484,89310.39542993375,3,650.9647884688194,Fe2O3,1546383,Hexagonal,Fe,140.0,3,1.83,25.0,7.87,2.87
15.0228254431849,100.0,15.0603704204101,50.0,28.9925167994567,58.3451480747461,30.3119202518,84.7178125820006,38.4138397798817,50.1080520409076,50.54726188699,45.0348637663802,890.6551585159359,15187309.40370494,236.9926720438484,89310.39542993375,7,890.6551585159359,W2O7,9014038,Cubic,W,135.0,6,1.7,42.0,19.3,3.16
